,Unnamed: 0,Unnamed: 0.1,Ubicación,Area,Baños,Habitaciones,Precio
0,0,0,"Casa en Venta Los Serrados
, Toluca De Lerdo, México",105.0,2.0,3.0,130000.0
1,1,1,"Casa en Venta Tierra Y Libertad #114
, Toluca De Lerdo, México",115.0,2.0,3.0,50800.0
2,2,2,"Casa en Venta Toluca De Lerdo, México",700.0,3.0,3.0,325000.0
3,3,3,"Casa en Venta Granjas, Toluca De Lerdo",390.0,3.0,4.0,275000.0
4,4,4,"Casa en Venta Toluca De Lerdo, México",300.0,4.0,3.0,215000.0
5,5,5,"Casa en Venta Toluca De Lerdo, México",250.0,2.0,3.0,125000.0
6,6,6,"Casa en Venta Toluca De Lerdo, México",600.0,4.0,4.0,1000000.0
7,7,7,"Casa en Venta Toluca De Lerdo, México",,4.0,4.0,220000.0
8,8,8,"Casa en Venta Toluca De Lerdo, México",300.0,4.0,3.0,210000.0
9,9,9,"Casa en Venta Ejido Santa Cruz Azcapotzaltongo, Toluca De Lerdo",,,,137500.0
10,10,10,"Casa en Venta San Miguel Apinahuizco, Toluca De Lerdo",,,,75000.0
11,11,11,"Casa en Venta Venta De Casa/oficina Toluca
, Toluca De Lerdo, México",600.0,8.0,6.0,1250000.0
12,12,12,"Casa en Venta Casa En Venta En Cacalomacan Toluca
, Cacalomacan, Toluca De Lerdo",330.0,4.0,4.0,290000.0
13,13,13,"Casa en Venta Venta De Casa Remodelada En La Colonia Morelos Toluca
, Morelos 1a Sección, Toluca De Lerdo",256.0,2.0,3.0,197500.0
14,14,14,"Casa en Venta Casa En Venta Ideal Para Oficina En San Bernardino Toluca
, San Bernardino, Toluca De Lerdo",350.0,3.0,4.0,265000.0
15,15,15,"Casa en Venta Venta De Casa Con Terreno Excedente En Cacalomacan Toluca
, Cacalomacan, Toluca De Lerdo",350.0,3.0,4.0,225000.0
16,16,16,"Casa en Venta Venta De Casa En Cacalomacán Toluca
, Cacalomacan, Toluca De Lerdo",450.0,4.0,4.0,325000.0
17,17,17,"Casa en Venta Venta De Casa Sola En Cacalomacan Toluca
, Cacalomacan, Toluca De Lerdo",600.0,3.0,3.0,250000.0
18,18,18,"Casa en Venta Venta Casa Nueva Sola En Venta, A 5 Minutos De Central De Abastos Toluca, San Mateo Otzacatipan, Ejido
, San Mateo Otzacatipan, Toluca De Lerdo",262.0,2.0,2.0,117500.0
19,19,19,"Casa en Venta Casa En Venta En El Centro De Toluca Ideal Para Inversion
, Toluca De Lerdo, México",300.0,2.0,4.0,300000.0
20,20,20,"Casa en Venta Venta De Casa De Una Sola Planta En San Mateo Oxtotitlàn Toluca
, San Mateo Oxtotitlán, Toluca De Lerdo",159.0,1.0,3.0,110000.0
21,21,21,"Casa en Venta Casa En Venta En Centro Toluca
, Toluca De Lerdo, México",771.0,4.0,6.0,3050000.0
22,22,22,"Casa en Venta Residencia En Venta Por Calle Colón Toluca
, Ciprés, Toluca De Lerdo",280.0,3.0,3.0,523000.0
23,23,23,"Casa en Venta Casa Venta Renta En El Centro De Toluca
, Toluca De Lerdo, México",492.0,3.0,3.0,625000.0
24,24,24,"Casa en Venta Casa En Venta En El Centro De Toluca
, Toluca De Lerdo, México",287.0,2.0,4.0,187500.0
